Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.20.3,43868,192.168.1.2,80,6,2021-08-09 22:31:41,32741472.0,5,5,700,370,412.0,66.0,140.0,136.03528953914864,74.0,74.0,74.0,0.0,32.680265566557296,0.3054230426781056,3637941.3333333335,2944227.825721863,9112663.0,31434.999999999996,32741472.0,8185368.0,5211745.209728935,14533334.0,31434.999999999996,21091792.0,5272948.0,4593647.446909373,12764131.0,1041801.0,0,0,0,0,100,100,0.1527115213390528,0.1527115213390528,66,412,107.0,101.69464096008205,10341.8,1,0,0,0,0,0,0,1.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,1,20,4252391.5,2809830.5,7062222.0,1442561.0,3757249.75,1666670.49180835,5461195.0,1288797.0,NeedManualLabel
192.168.1.2,80,192.168.20.3,43548,6,2021-08-09 22:31:47,27594292.0,7,7,476,1556,74.0,60.0,68.0,6.928203230275509,428.0,66.0,222.28571428571428,178.17304131955885,73.63841768435299,0.5073513029433768,2122637.846153846,2147335.823193828,8173416.0,371.0,18856328.0,3142721.3333333335,2226048.0701617585,6646355.0,371.0,27113155.0,4518859.166666667,3328368.359441876,9285980.0,38807.0,0,0,0,0,140,140,0.2536756514716884,0.2536756514716884,60,428,145.14285714285714,147.81013745577087,21847.83673469388,1,0,0,0,0,0,0,1.0,145.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,65160,502,3,20,1986428.3333333333,877974.5128534326,2609663.0,744788.0,3533175.25,2481209.9644012772,7060852.0,359877.0,NeedManualLabel
192.168.1.2,80,192.168.20.3,43550,6,2021-08-09 22:31:47,27577378.0,7,7,476,1523,74.0,60.0,68.0,6.928203230275509,417.0,66.0,217.57142857142858,172.73005954201417,72.4869492668955,0.5076624761063216,2121336.769230769,2162965.1907524527,8209039.000000001,464.0,18819550.0,3136591.6666666665,2216015.505992581,6623899.0,464.0,27122540.0,4520423.333333333,3342773.843767711,9314901.0,11111.0,0,0,0,0,140,140,0.2538312380531608,0.2538312380531608,60,417,142.78571428571428,143.2994759094337,20534.73979591837,1,0,0,0,0,0,0,1.0,142.78571428571428,0.0,0.0,0.0,0.0,0.0,0.0,65160,502,3,20,2005978.3333333333,889384.7948337971,2667618.0,748777.0,3556743.5,2494787.896417499,7103177.0,382115.0,NeedManualLabel
192.168.1.2,80,192.168.20.3,43558,6,2021-08-09 22:31:41,33848459.0,8,7,550,1388,74.0,60.0,68.75,6.777720855862979,372.0,66.0,198.28571428571428,150.46377284507892,57.25519144017753,0.44315163653388184,2417747.0714285714,2101930.7236180147,6391548.0,35136.0,29004323.0,4143474.714285714,2901695.0144945434,8791861.0,37893.0,27421775.0,4570295.833333333,3704430.9131558216,9447923.0,46282.0,0,0,0,0,160,140,0.23634753948473697,0.20680409704914485,60,372,129.2,121.51444358593756,14765.76,1,0,0,0,0,0,0,0.875,129.2,0.0,0.0,0.0,0.0,0.0,0.0,65160,502,3,20,3574304.5,1254767.5,4829072.0,2319537.0,2495933.2,2029138.6018305798,6391548.0,430765.0,NeedManualLabel
192.168.1.2,80,192.168.20.3,43556,6,2021-08-09 22:31:41,34347853.0,9,7,610,1700,74.0,60.0,67.77777777777777,6.956655929999346,476.0,66.0,242.85714285714286,201.92461717286517,67.25311186116932,0.46582241981762296,2289856.8666666667,2073772.9383754262,6369524.0,45477.0,34347853.0,4293481.625,2752176.873302338,8817199.0,72462.0,27396031.0,4566005.166666667,3712357.4019116843,9427828.0,45477.0,0,0,0,0,180,140,0.2620251111474129,0.20379730867021004,60,476,144.375,159.40235059433724,25409.109375,1,0,0,0,0,0,0,0.7777777777777778,144.375,0.0,0.0,0.0,0.0,0.0,0.0,65160,502,4,20,3597176.5,1181087.5,4778264.0,2416089.0,2505315.6,2026659.698323584,6369524.0,364832.0,NeedManualLabel
192.168.1.2,80,192.168.20.3,43552,6,2021-08-09 22:31:47,28167085.0,8,6,536,1048,74.0,60.0,67.0,7.0,388.0,66.0,174.66666666666666,150.87596082728209,56.235851171677865,0.4970340381335165,2166698.846153846,2038678.8590503654,6938395.0,26451.0,28167085.0,4023869.285714286,2704174.2357596345,7598176.0,57044.0,27253884.0,5450776.8,3363892.5125622787,10004008.0,26451.0,0,0,0,0,160,120,0.28401945036200943,0.21301458777150706,60,388,113.14285714285714,112.35076269234234,12622.693877551023,1,0,0,0,0,0,0,0.75,113.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,65160,502,4,20,1974291.6666666667,1069867.564933571,2897523.0,474573.0,2572254.0,1464158.7682330082,4526726.0,453774.0,NeedManualLabel
192.168.1.2,80,192.168.20.3,43554,6,2021-08-09 22:31:47,28136193.0,8,6,536,1523,74.0,60.0,67.0,7.0,439.0,66.0,253.83333333333334,185.18586759133527,73.17976529376239,0.49757975430435814,2164322.5384615385,1949052.8087664144,6718920.0,41497.0,28136193.0,4019456.1428571427,2722819.1445961418,7969661.0,67748.0,26639775.0,5327955.0,3151592.0719374833,9389923.0,41497.0,0,0,0,0,160,120,0.28433128817391895,0.21324846613043918,60,439,147.07142857142858,152.55793479654787,23273.923469387755,1,0,0,0,0,0,0,0.75,147.07142857142858,0.0,0.0,0.0,0.0,0.0,0.0,65160,502,4,20,2016367.3333333333,865954.5605762978,2923910.0,850493.0,2553604.4,1517491.6345764282,4534887.0,474923.0,NeedManualLabel
192.168.1.2,80,192.168.20.3,43666,6,2021-08-09 22:31:42,33400319.000000004,7,5,504,692,74.0,60.0,72.0,4.898979485566356,412.0,66.0,138.4,136.8467756288032,35.80804123457623,0.35927800569808926,3036392.6363636362,2744415.7222089195,8050114.000000001,17547.0,33400319.0,5566719.833333333,3177724.445335814,9005690.0,813001.0,20086825.0,5021706.25,3346741.473816836,9005705.0,17547.0,0,0,0,0,140,100,0.20957883665721874,0.14969916904087052,60,412,99.66666666666667,94.27913637468023,8888.555555555553,1,0,0,0,0,0,0,0.7142857142857143,99.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,65160,502,1,20,0.0,0.0,0.0,0.0,2665712.4,1639303.3866871134,4439428.0,476304.0,NeedManualLabel
192.168.1.2,80,192.168.20.3,43686,6,2021-08-09 22:31:42,33708010.0,8,5,564,718,74.0,60.0,70.5,6.06217782649107,438.0,66.0,143.6,147.24347184170847,38.03250325367768,0.3856650095926754,2809000.8333333335,2560431.0472086477,7676006.0,20246.0,33708010.0,4815430.0,2880115.603585979,9496943.0,65281.00000000001,22043692.0,5510923.0,3460616.404669333,9526044.0,20246.0,0,0,0,0,160,100,0.23733231359549256,0.14833269599718285,60,438,98.61538461538461,98.11260286138923,9626.082840236682,1,0,0,0,0,0,0,0.625,98.61538461538461,0.0,0.0,0.0,0.0,0.0,0.0,65160,502,2,20,5870897.5,174800.5,6045698.0,5696097.0,2807280.5,1718270.1433936157,5140935.0,273517.0,NeedManualLabel
192.168.1.2,80,192.168.20.3,43520,6,2021-08-09 22:31:45,31797337.0,6,6,374,1359,74.0,60.0,62.333333333333336,5.21749194749951,387.0,66.0,226.5,160.5,54.50141941131737,0.3773900940195086,2890667.0,3127687.4998445446,8087626.999999999,42853.0,31797337.0,6359467.4,5447707.011576911,13368057.0,44834.0,23429382.0,4685876.4,4296909.269238046,10704722.0,42853.0,0,0,0,0,120,120,0.1886950470097543,0.1886950470097543,60,387,144.41666666666666,140.11213267316367,19631.409722222223,1,0,0,0,0,0,0,1.0,144.41666666666666,0.0,0.0,0.0,0.0,0.0,0.0,65160,502,5,20,3141241.0,1684735.0,4825976.0,1456506.0,4775781.666666667,1050134.2994812087,6058197.0,3485936.0,NeedManualLabel
192.168.1.2,80,192.168.20.3,43516,6,2021-08-09 22:31:45,32562418.0,5,7,314,1846,74.0,60.0,62.8,5.6,412.0,66.0,263.7142857142857,171.22559411966617,66.33414017349695,0.3685230009638719,2960219.8181818184,3182048.9654823127,8795051.0,62431.0,20537758.0,5134439.5,5304619.565561441,13228392.0,91685.0,32147617.0,5357936.166666667,4161093.579374634,10638544.0,92074.0,0,0,0,0,100,140,0.1535512504016133,0.21497175056225862,60,412,180.0,164.09346929925843,26926.666666666668,1,0,0,0,0,0,0,1.4,180.0,0.0,0.0,0.0,0.0,0.0,0.0,65160,502,4,20,3105253.0,1624160.0,4729413.0,1481093.0,5001852.333333333,1169018.5411350648,6013976.0,3363708.0,NeedManualLabel
